2.9,0.48
33.86,3.56
-0.51,0.22
21.25,2.88
5.03,1.7
34.13,1.12
32.25,1.13
36.29,1.24
21.34,2.86
-2.65,1.74
18.39,2.67
-2.71,1.12
-2.72,1.12
-0.94,2.17
33.61,3.54
21.26,2.88
19.17,0.82
-0.93,0.22
15.52,2.46
21.65,0.87
1.5,0.46
20.17,1.01
3.54,0.28
21.58,0.5
20.66,2.78
33.23,0.67
22,0.91
16.63,3.05
-2.19,1.94
30.38,1
36.53,1.16
16.34,1
-1.02,1.23
20.68,0.85
35.7,0.64
36.13,1.18
22.41,2.93
-1.15,0.4
17.44,0.82
19.38,1.01
0.44,0.24
35.86,1.09
-2.72,1.61
36.92,1.16
35.24,1.08
26.09,0.94
9.05,2.03
21.41,2.83
34.98,1.07
17.49,0.78
6.71,0.58
-2.64,1.17
-1.93,1.24
4.68,0.54
15.73,0.78
-0.66,0.22
18.03,0.99
23.43,1
34.16,3.59
-1.61,0.37
10.27,2.91
-0.46,0.42
22.18,0.87
18.51,0.55
6.94,0.88
36.7,1.1
-0.95,0.23
-2.73,1.16
-1.1,0.61
20.22,2.75
-1.25,0.22
-1.08,0.23
0.64,0.24
-1.4,0.21
-1.28,0.21
-0.41,0.35
-2.52,0.2
-1.58,0.38
20.88,0.89
35.99,1.15
27.94,1.01
27.95,1.01
31.82,1.12
32.91,1.16
21.24,0.97
24.89,0.57
24.07,0.94
35.38,1.11
36.06,1.12
36.12,1.09
36.18,1.18
26.55,0.56
32.85,1.14
27.25,1.03
2.26,0.28
6.98,0.63
0.11,0.23
19.44,0.94
-1.01,0.24
-1.94,0.37
-0.55,0.41
0.08,0.42
14.03,0.44
28.94,0.59
36.46,1.15
23.7,0.59
22.83,0.51
20.19,0.88
21.85,0.88
29.16,1.02
11.25,0.64
27.94,0.99
19.91,2.77
-2.69,1.11
-2.12,1.42
9.03,1.97
20.46,2.81
26.34,0.94
26.21,0.97
20.54,0.84
31.71,1.11
21.51,0.5
35.24,1.16
30.19,0.59
23.31,0.95
35.25,0.64
32.09,1.08
36.52,1.13
36.36,1.13
-2.32,1.26
-2.03,1.71
-2.51,1.85
-1.89,1.96
-1.87,1.2
0.21,2.07
-2.23,1.93
-1.58,1.96
-0.01,2.08
12.42,2.45
-2.5,1.52
22.27,3.04
-2.57,1.4
-2.68,1.85
10.49,2.11
24.97,0.93
20.93,0.96
19.16,0.47
20.56,0.57
20.1,1.04
20.64,1.05
15.25,0.5
16.99,0.46
36.27,1.15
25.17,0.97
35.98,1.21
34.38,0.66
26.59,0.99
32.24,0.63
35.43,0.65
35.14,1.22
35.74,0.66
36.15,0.65
20.82,0.89
31.3,1.07
22.09,0.51
33.01,1.1
27.31,1.03
21.86,0.91
-0.28,0.5
8.4,0.64
0.16,0.46
-2.62,0.35
-0.65,0.4
5.38,0.64
25.08,0.92
17.85,0.83
1.72,2.04
18.79,2.74
-2.59,1.42
0.51,1.45
22.24,3.21
-2.73,1.15
20.4,3.17
20.69,2.83
-1.72,1.6
36.26,1.1
36.31,1.16
-2.69,2.19
36.26,1.15
21.37,1
-2.67,1.56
20.93,0.91
3.25,1.86
15.66,0.82
-2.69,1.91
35.67,3.77
21.49,3.07
-2.08,2.64
30.29,1.03
-2.37,1.14
21.78,0.97
4.43,0.52
-1.89,2.55
20.08,0.92
-2.5,0.28
35.69,0.65
14.55,2.45
28.33,0.58
10.72,0.4
-1.88,0.27
-2.19,0.29
-2.7,2.09
22.95,3.21
21.1,0.86
36,1.21
-1.77,1.47
21.46,0.86
21.07,0.94
22.96,0.97
-2.69,1.84
8.5,2.24
9.59,0.39
21.29,2.88
